Lrise,Ga,Bo,maxVelocity,Ratio,max_ratio,L_bounce_center,L_bounce_upper,t_last
40,15,10,0.953441,1.32768,10.3697,0.0237,0.0,52.02
40,15,20,0.947744,1.30293,15.4754,0.0,0.0037,55.53
40,10,0.001,1.87705,1.0008,1.02037,0.0777,0.0506,22.78
40,10,0.004,1.77955,1.00265,1.03977,0.0799,0.0311,23.98
40,10,0.007,1.77588,1.00462,1.05433,0.0883,0.0198,24.08
40,10,0.01,1.77224,1.00658,1.06647,0.096,0.0112,24.19
40,10,0.04,1.73068,1.02557,1.14895,0.1314,0.0011,25.01
40,10,0.07,1.70179,1.04395,1.2048,0.1418,0.0,25.59
40,10,0.1,1.67513,1.0618,1.25229,0.1432,0.0,26.09
40,10,0.4,1.48292,1.22038,1.59393,0.1135,0.0,29.83
40,10,0.7,1.36256,1.35377,1.86013,0.0892,0.0,32.59
40,10,1,1.28161,1.47048,2.10799,0.0737,0.0,34.77
40,10,4,0.977623,2.27863,4.7231,0.0298,0.0,46.47
40,10,7,0.908249,2.60528,7.12846,0.0181,0.0,50.96
40,10,10,0.898265,1.33204,8.99296,0.0064,0.0,52.84
40,10,20,0.892477,1.31334,12.7721,0.0,0.0015,59.84
40,7.5,0.001,1.54536,1.00057,1.01159,0.0303,0.0146,27.21
40,7.5,0.004,1.47172,1.00177,1.02381,0.0389,0.005,28.68
40,7.5,0.007,1.46206,1.00309,1.03366,0.044,0.0005,28.93
40,7.5,0.01,1.45858,1.00431,1.04304,0.0477,0.0002,29.06
40,7.5,0.04,1.43757,1.0171,1.10384,0.0663,0.0005,29.78
40,7.5,0.07,1.42013,1.02969,1.14689,0.069,0.0,30.31
40,7.5,0.1,1.4012,1.04236,1.18502,0.0679,0.0,30.8
40,7.5,0.4,1.28946,1.15849,1.47041,0.0471,0.0,33.94
40,7.5,0.7,1.21116,1.26132,1.69727,0.0335,0.0,36.33
40,7.5,1,1.1556,1.35504,1.90701,0.0248,0.0,38.27
40,7.5,4,0.919421,1.99994,3.99998,0.003,0.0,48.65
40,7.5,7,0.863027,2.26636,6.02564,0.0,0.0,51.88
40,7.5,10,0.844076,2.30426,7.60849,0.0,0.0022,76.62
40,7.5,20,0.836017,1.31763,11.0527,0.0,0.0048,76.8
40,5,0.001,1.16701,1.00033,1.00386,0.0048,0.0032,35.93
40,5,0.004,1.11608,1.00115,1.00936,0.004,0.0,37.66
40,5,0.007,1.10682,1.00191,1.01509,0.0047,0.0,37.92
40,5,0.01,1.10385,1.00268,1.02021,0.0058,0.0,38.05
40,5,0.04,1.0955,1.01044,1.05917,0.0086,0.0,38.68
40,5,0.07,1.08936,1.01818,1.08994,0.0066,0.0,39.04
40,5,0.1,1.08277,1.02582,1.1181,0.0053,0.0,39.37
40,5,0.4,1.03262,1.09985,1.34144,0.0,0.0,46.3
40,5,0.7,0.99358,1.1687,1.52655,0.0,0.0,49.5
40,5,1,0.960359,1.23261,1.6916,0.0,0.0,52.66
40,5,4,0.811231,1.68646,3.20993,0.0,0.0,68.55
40,5,7,0.772629,1.88332,4.6377,0.0,0.0,74.91
40,5,10,0.758032,1.9182,5.83342,0.0,0.0,84.22
40,5,20,0.746996,1.88495,8.86931,0.0,0.0,88.43
40,2.5,0.001,0.720129,1.00016,1.00191,0.0002,0.0032,59.3
40,2.5,0.004,0.687436,1.00055,1.00556,0.0017,0.0033,63.89
40,2.5,0.007,0.681272,1.00089,1.00941,0.0004,0.0032,65.87
40,2.5,0.01,0.679509,1.00122,1.01227,0.0019,0.0032,65.39
40,2.5,0.04,0.675365,1.00465,1.03839,0.0,0.0003,65.77
40,2.5,0.07,0.673667,1.00806,1.06168,0.0,0.0004,67.11
40,2.5,0.1,0.671991,1.01144,1.08445,0.0,0.0009,67.82
40,2.5,0.4,0.658774,1.0447,1.26448,0.0,0.0,73.27
40,2.5,0.7,0.647509,1.07642,1.41266,0.0,0.0,78.06
40,2.5,1,0.637527,1.1066,1.54521,0.0,0.0,81.19
40,2.5,4,0.585321,1.32141,2.66857,0.0,0.0,96.91
40,2.5,7,0.569003,1.43518,3.7292,0.0,0.0,103.81
40,2.5,10,0.56251,1.46699,4.75847,0.0,0.0,107.44
40,2.5,20,0.557334,1.46607,7.49013,0.0,0.0,119.64
40,1,0.001,0.335298,1.00011,1.00181,0.0,0.0033,131.06
40,1,0.004,0.320114,1.00019,1.00463,0.0,0.0032,136.77
40,1,0.007,0.317946,1.00029,1.00877,0.0,0.0032,138.38
40,1,0.01,0.31701,1.00036,1.01114,0.0,0.0032,138.73
40,1,0.04,0.315244,1.00124,1.03578,0.0,0.0004,142.57
40,1,0.07,0.314803,1.00211,1.05959,0.0,0.0,144.37
40,1,0.1,0.314513,1.00296,1.08232,0.0,0.0,146.16
40,1,0.4,0.312727,1.0116,1.25589,0.0,0.0,153.52
40,1,0.7,0.311214,1.01999,1.40008,0.0,0.0,159.81
40,1,1,0.309843,1.02789,1.52969,0.0,0.0,163.47
40,1,4,0.302128,1.08406,2.61072,0.0,0.0,179.03
40,1,7,0.29955,1.11751,3.5821,0.0,0.0,186.39
40,1,10,0.29833,1.14081,4.49862,0.0,0.0,191.53
40,1,20,0.297207,1.15657,6.95528,0.0,0.0,200.57
20,100,0.001,6.28427,1.00993,1.13934,5.7853,5.6564,7.26
20,100,0.004,6.0667,1.04039,1.27949,5.1979,4.9766,7.53
20,100,0.007,5.91848,1.06943,1.37501,4.9507,4.696,7.61
20,100,0.01,5.78507,1.09877,1.45928,4.7673,4.481,7.64
20,100,0.04,4.79496,1.35321,1.9367,3.9108,3.5073,8.24
20,100,0.07,4.19055,1.55545,2.28052,3.5253,3.0884,8.76
20,100,0.1,3.78014,1.73139,2.55479,3.1155,2.6665,9.22
20,100,0.4,2.36821,2.63146,4.22715,1.2577,0.8131,12.33
20,100,0.7,2.1508,2.56983,4.25826,0.9015,0.4667,15.12
20,100,1,2.30706,1.02234,4.07285,1.0249,0.6294,17.44
20,80,0.001,5.97416,1.00931,1.12754,5.0591,4.9351,7.35
20,80,0.004,5.78618,1.03648,1.25887,4.4954,4.2833,7.51
20,80,0.007,5.65403,1.06272,1.35213,4.2573,3.9931,7.56
20,80,0.01,5.52194,1.08814,1.42351,4.103,3.8239,7.64
20,80,0.04,4.63724,1.31728,1.86293,3.3446,2.9365,8.2
