target_col,r2,nrmse,mape(%),best_params
maxVelocity,0.99926,0.0053,1.069%,max_depth=None;min_samples_leaf=1;min_samples_split=2;n_estimators=500
Ratio,0.98465,0.0206,0.870%,max_depth=None;min_samples_leaf=1;min_samples_split=2;n_estimators=400
max_ratio,0.99545,0.0100,0.997%,max_depth=None;min_samples_leaf=1;min_samples_split=2;n_estimators=500
L_bounce_center,0.99093,0.0149,81.522%,max_depth=None;min_samples_leaf=1;min_samples_split=2;n_estimators=400
L_bounce_upper,0.98815,0.0158,454.609%,max_depth=None;min_samples_leaf=1;min_samples_split=2;n_estimators=500
t_last,0.99524,0.0084,3.943%,max_depth=None;min_samples_leaf=1;min_samples_split=2;n_estimators=500
