target_col,r2,nrmse,mape(%),best_params
maxVelocity,0.99992,0.0017,0.635%,C=100;epsilon=0.001;gamma=1;kernel=rbf
Ratio,0.93278,0.0431,1.841%,C=10;epsilon=0.001;gamma=10;kernel=rbf
max_ratio,0.99258,0.0128,0.631%,C=100;epsilon=0.001;gamma=1;kernel=rbf
L_bounce_center,0.99424,0.0119,1865.274%,C=100;epsilon=0.01;gamma=1;kernel=rbf
L_bounce_upper,0.99153,0.0134,1530.140%,C=100;epsilon=0.001;gamma=1;kernel=rbf
t_last,0.99378,0.0096,13.744%,C=100;epsilon=1;gamma=1;kernel=rbf
