time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,1.5,0.5,2.5,1
0.01,0.0175912,1.00003,1.49991,0.499941,2.4999,1
0.02,0.0346128,1.00007,1.49965,0.499725,2.49962,1.00002
0.03,0.0510095,1.00017,1.49922,0.499383,2.49914,1.00004
0.04,0.0668256,1.00025,1.49864,0.498856,2.4985,1.00008
0.05,0.0818291,1.00034,1.49789,0.498171,2.4977,1.00011
0.06,0.0963299,1.00043,1.497,0.49734,2.49675,1.00014
0.07,0.110321,1.0005,1.49597,0.496353,2.49566,1.00015
0.08,0.123862,1.00054,1.4948,0.495213,2.49445,1.00015
0.09,0.137051,1.00055,1.4935,0.49393,2.49313,1.00015
0.1,0.150015,1.00053,1.49207,0.4925,2.49171,1.00014
0.11,0.16279,1.00049,1.4905,0.490928,2.49021,1.00013
0.12,0.175323,1.00041,1.48881,0.489175,2.48862,1.00013
0.13,0.1878,1.00035,1.487,0.487305,2.48686,1.00013
0.14,0.199747,1.00032,1.48506,0.485344,2.48495,1.00012
0.15,0.211271,1.00033,1.48301,0.483316,2.48286,1.00011
0.16,0.222558,1.00037,1.48084,0.48118,2.48063,1.00009
0.17,0.233113,1.0004,1.47856,0.478951,2.47831,1.00008
0.18,0.243659,1.00044,1.47618,0.476578,2.4759,1.0001
0.19,0.253936,1.0005,1.47369,0.474127,2.47339,1.00014
0.2,0.263564,1.00053,1.4711,0.47156,2.47085,1.00018
0.21,0.273201,1.00063,1.46842,0.468945,2.46812,1.00021
0.22,0.28236,1.00072,1.46564,0.466249,2.46525,1.00022
0.23,0.291286,1.00079,1.46278,0.463464,2.4623,1.00021
0.24,0.299777,1.00084,1.45982,0.460555,2.4593,1.00021
0.25,0.308286,1.00085,1.45678,0.457515,2.45629,1.00023
0.26,0.316549,1.00079,1.45366,0.4543,2.45325,1.00027
0.27,0.324525,1.00079,1.45045,0.45109,2.45005,1.00027
0.28,0.332111,1.00079,1.44717,0.447844,2.44672,1.00023
0.29,0.339537,1.00081,1.44381,0.444553,2.44333,1.0002
0.3,0.346893,1.0008,1.44038,0.441146,2.43993,1.00019
0.31,0.354095,1.00074,1.43688,0.437549,2.43652,1.00023
0.32,0.360793,1.00074,1.4333,0.433939,2.43295,1.00025
0.33,0.367349,1.00076,1.42966,0.430321,2.42925,1.00023
0.34,0.373995,1.00088,1.42596,0.426746,2.42543,1.00022
0.35,0.380185,1.00093,1.42219,0.423042,2.42168,1.00024
0.36,0.386246,1.00097,1.41835,0.419208,2.41785,1.00029
0.37,0.391838,1.00098,1.41446,0.415302,2.41393,1.0003
0.38,0.397396,1.00106,1.41052,0.411417,2.40994,1.00032
0.39,0.403153,1.00113,1.40652,0.407524,2.40593,1.00033
0.4,0.408298,1.00118,1.40246,0.403494,2.40182,1.00034
0.41,0.413213,1.00118,1.39835,0.399362,2.39766,1.00032
0.42,0.41824,1.00118,1.3942,0.395192,2.39352,1.00035
0.43,0.422437,1.00117,1.39,0.391033,2.38941,1.00036
0.44,0.426607,1.00117,1.38575,0.386785,2.38515,1.00035
0.45,0.431022,1.00117,1.38147,0.382493,2.3808,1.00032
0.46,0.435611,1.00117,1.37713,0.378184,2.37649,1.00032
0.47,0.439462,1.00117,1.37276,0.373849,2.3722,1.00034
0.48,0.443358,1.00118,1.36835,0.36943,2.36775,1.00034
