time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,7.25,6.25,8.25,1
0.01,0.0198277,1,7.2499,6.2499,8.2499,1
0.02,0.0395813,1,7.24961,6.24961,8.2496,1
0.03,0.059258,1.00001,7.24912,6.24912,8.24911,1
0.04,0.0788493,1.00001,7.24844,6.24844,8.24842,1
0.05,0.098366,1.00002,7.24756,6.24756,8.24753,1
0.06,0.117804,1.00003,7.24648,6.2465,8.24643,0.999997
0.07,0.137241,1.00003,7.24521,6.24523,8.24517,0.999999
0.08,0.156441,1.00006,7.24375,6.2438,8.24367,0.999994
0.09,0.175605,1.00006,7.24209,6.24216,8.24201,0.999992
0.1,0.19489,1.00011,7.24024,6.24033,8.24015,1.00002
0.11,0.213943,1.00017,7.2382,6.23833,8.23809,1.00005
0.12,0.232917,1.00024,7.23597,6.23614,8.23582,1.00008
0.13,0.251809,1.00031,7.23355,6.23378,8.23336,1.0001
0.14,0.270627,1.0004,7.23095,6.23124,8.23069,1.00013
0.15,0.289354,1.00052,7.22815,6.22853,8.22781,1.00015
0.16,0.308002,1.00066,7.22517,6.22563,8.22471,1.00021
0.17,0.326566,1.00088,7.222,6.2226,8.2214,1.00027
0.18,0.345037,1.00109,7.21865,6.21938,8.2179,1.00034
0.19,0.363448,1.00133,7.21511,6.21602,8.21419,1.00041
0.2,0.381733,1.00157,7.21139,6.21246,8.2103,1.00048
0.21,0.399927,1.00189,7.20748,6.20873,8.20617,1.00061
0.22,0.418014,1.00226,7.2034,6.20487,8.20184,1.00074
0.23,0.43599,1.00266,7.19913,6.20083,8.19726,1.00087
0.24,0.45385,1.00312,7.19469,6.19667,8.19245,1.001
0.25,0.471607,1.00365,7.19006,6.19237,8.18745,1.00118
0.26,0.489241,1.00421,7.18526,6.18789,8.18224,1.00137
0.27,0.506749,1.00481,7.18029,6.18327,8.17681,1.00156
0.28,0.524113,1.00553,7.17514,6.17852,8.17111,1.00181
0.29,0.54136,1.0063,7.16982,6.17364,8.16522,1.00206
0.3,0.558456,1.0071,7.16432,6.16863,8.15911,1.00231
0.31,0.575474,1.008,7.15865,6.16342,8.15275,1.00262
0.32,0.592286,1.00903,7.15282,6.15815,8.14609,1.00294
0.33,0.608969,1.01006,7.14682,6.15275,8.13926,1.00325
0.34,0.625469,1.01121,7.14065,6.14719,8.13223,1.00364
0.35,0.641776,1.01245,7.13432,6.14151,8.12486,1.00403
0.36,0.657886,1.01377,7.12782,6.13573,8.11732,1.00444
0.37,0.674029,1.01519,7.12117,6.12982,8.10954,1.00489
0.38,0.689871,1.01665,7.11435,6.12378,8.10152,1.00534
0.39,0.70556,1.01825,7.10738,6.11766,8.09331,1.00586
0.4,0.720524,1.01993,7.10025,6.11139,8.08481,1.00637
0.41,0.735577,1.02175,7.09297,6.10502,8.07604,1.00694
0.42,0.750654,1.02359,7.08555,6.09855,8.06714,1.00751
0.43,0.765423,1.02557,7.07797,6.09192,8.0579,1.00813
0.44,0.78,1.02763,7.07024,6.08526,8.04853,1.00876
0.45,0.794333,1.02979,7.06238,6.07846,8.03888,1.00942
0.46,0.808461,1.03203,7.05437,6.07152,8.02904,1.01011
0.47,0.822375,1.03439,7.04621,6.06452,8.01895,1.01082
0.48,0.836046,1.03685,7.03793,6.05737,8.00862,1.01158
0.49,0.849516,1.0394,7.0295,6.05019,7.99811,1.01233
0.5,0.862714,1.04204,7.02094,6.04283,7.98737,1.01314
0.51,0.875713,1.04478,7.01225,6.03547,7.97645,1.01395
0.52,0.888626,1.04759,7.00344,6.02795,7.96538,1.01481
0.53,0.901256,1.05052,6.99449,6.02039,7.95407,1.01568
0.54,0.913554,1.05352,6.98542,6.01271,7.94258,1.01658
0.55,0.925654,1.05664,6.97623,6.00496,7.93089,1.01751
0.56,0.937582,1.05977,6.96691,5.9971,7.9191,1.01844
0.57,0.949309,1.06306,6.95748,5.9892,7.90714,1.01944
0.58,0.960757,1.06633,6.94793,5.98117,7.89503,1.02041
0.59,0.971968,1.06984,6.93827,5.97311,7.88269,1.02147
0.6,0.983085,1.07324,6.9285,5.96489,7.87032,1.02249
0.61,0.993871,1.07685,6.91862,5.95668,7.85773,1.02358
0.62,1.00443,1.08043,6.90863,5.94829,7.84507,1.02467
0.63,1.01484,1.08411,6.89854,5.93992,7.83228,1.02576
0.64,1.02508,1.08785,6.88834,5.93137,7.81935,1.02691
0.65,1.03509,1.0916,6.87804,5.92284,7.80638,1.02804
0.66,1.04494,1.09543,6.86764,5.91416,7.79327,1.02922
0.67,1.05457,1.09929,6.85715,5.90543,7.78009,1.0304
0.68,1.06407,1.10316,6.84656,5.89664,7.76686,1.03158
0.69,1.07336,1.10713,6.83587,5.88773,7.75347,1.0328
0.7,1.08248,1.11113,6.8251,5.87882,7.74002,1.03402
0.71,1.09155,1.11508,6.81423,5.86973,7.72657,1.03526
0.72,1.10035,1.11914,6.80327,5.86067,7.71304,1.03653
0.73,1.10901,1.12319,6.79223,5.8515,7.69945,1.0378
0.74,1.11747,1.12724,6.7811,5.84223,7.68579,1.03907
0.75,1.12584,1.13144,6.76988,5.83297,7.67203,1.04039
0.76,1.13413,1.13558,6.75858,5.82355,7.65819,1.04169
0.77,1.14225,1.13965,6.7472,5.81409,7.64443,1.04298
0.78,1.15011,1.14385,6.73574,5.80458,7.63057,1.04433
0.79,1.15813,1.14797,6.72421,5.79491,7.61668,1.04566
0.8,1.16584,1.15211,6.71259,5.78525,7.60275,1.04698
0.81,1.17346,1.15623,6.70089,5.77551,7.58882,1.0483
