time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,7.25,6.25,8.25,1
0.01,0.0198326,1,7.2499,6.2499,8.2499,1
0.02,0.0396135,1,7.24961,6.24961,8.2496,1
0.03,0.0592925,1.00001,7.24912,6.24913,8.2491,0.999997
0.04,0.0788895,1.00003,7.24843,6.24846,8.24839,0.999996
0.05,0.0983402,1.00001,7.24754,6.24755,8.24753,0.999997
0.06,0.117723,1.00001,7.24647,6.24648,8.24645,0.999999
0.07,0.137182,1.00003,7.24519,6.24523,8.24516,1
0.08,0.156459,1.00006,7.24373,6.24378,8.24368,1
0.09,0.175668,1.00008,7.24207,6.24215,8.24199,1
0.1,0.194824,1.00015,7.24022,6.24033,8.24011,1.00003
0.11,0.213899,1.00022,7.23818,6.23834,8.23802,1.00006
0.12,0.232901,1.00029,7.23595,6.23615,8.23575,1.00009
0.13,0.251803,1.00038,7.23353,6.23381,8.23325,1.0001
0.14,0.270635,1.00046,7.23092,6.23127,8.23059,1.00012
0.15,0.289373,1.00053,7.22812,6.22853,8.22776,1.00015
0.16,0.308034,1.00064,7.22513,6.2256,8.22472,1.0002
0.17,0.326628,1.00081,7.22196,6.2225,8.22145,1.00028
0.18,0.345126,1.00102,7.21861,6.21928,8.21793,1.00034
0.19,0.36356,1.00123,7.21507,6.21586,8.21422,1.00041
0.2,0.381867,1.00148,7.21134,6.21232,8.21028,1.00046
0.21,0.400106,1.00174,7.20743,6.20856,8.20621,1.00056
0.22,0.418244,1.00202,7.20334,6.20464,8.20194,1.00067
0.23,0.436273,1.00234,7.19907,6.20056,8.19744,1.00078
0.24,0.454201,1.0027,7.19462,6.19632,8.19269,1.00088
0.25,0.472056,1.0031,7.18999,6.19193,8.1878,1.00102
0.26,0.489804,1.00348,7.18519,6.18735,8.18274,1.00116
0.27,0.507424,1.00391,7.1802,6.18265,8.17743,1.00129
0.28,0.52496,1.00445,7.17504,6.17781,8.17185,1.00146
0.29,0.542392,1.00498,7.16971,6.17285,8.16617,1.00162
0.3,0.559701,1.00551,7.1642,6.16768,8.16028,1.00179
0.31,0.57698,1.00612,7.15852,6.16232,8.15415,1.00201
0.32,0.59413,1.00672,7.15267,6.15685,8.14789,1.00221
0.33,0.611137,1.00732,7.14664,6.15119,8.14143,1.0024
0.34,0.628057,1.00805,7.14045,6.1454,8.13469,1.00265
0.35,0.644848,1.00874,7.13409,6.13952,8.12786,1.00286
0.36,0.661559,1.00946,7.12756,6.13341,8.12085,1.00312
0.37,0.678173,1.01022,7.12086,6.12716,8.11357,1.00335
0.38,0.694653,1.01095,7.114,6.1208,8.10625,1.00359
0.39,0.711102,1.01173,7.10697,6.1142,8.09868,1.00388
0.4,0.72744,1.01248,7.09978,6.10748,8.09096,1.00412
0.41,0.743621,1.01334,7.09243,6.10063,8.08302,1.00442
