time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,2.75,1.75,3.75,1
0.01,0.0192518,1,2.74991,1.74991,3.7499,1
0.02,0.0379418,1.00001,2.74963,1.74963,3.74961,1
0.03,0.0560557,1.00002,2.74916,1.74917,3.74913,1.00001
0.04,0.073669,1.00004,2.74852,1.74854,3.74847,1.00001
0.05,0.0907398,1.00006,2.7477,1.74773,3.74764,1.00001
0.06,0.107363,1.00008,2.74671,1.74677,3.74664,1.00002
0.07,0.123531,1.0001,2.74556,1.74564,3.74548,1.00002
0.08,0.139266,1.00013,2.74425,1.74437,3.74416,1.00002
0.09,0.154588,1.00015,2.74279,1.74294,3.74268,1.00002
0.1,0.169514,1.0002,2.74117,1.74137,3.74106,1.00004
0.11,0.18407,1.00025,2.73941,1.73965,3.73929,1.00007
0.12,0.198262,1.00031,2.7375,1.7378,3.73738,1.0001
0.13,0.212076,1.00037,2.73546,1.73582,3.73533,1.00013
0.14,0.22551,1.00044,2.73327,1.73371,3.73314,1.00015
0.15,0.238585,1.00053,2.73096,1.73147,3.73079,1.00018
0.16,0.251431,1.00062,2.72851,1.72911,3.72828,1.00021
0.17,0.263833,1.00074,2.72594,1.72663,3.72564,1.00024
0.18,0.276041,1.0009,2.72324,1.72404,3.72285,1.0003
0.19,0.28793,1.00106,2.72043,1.72133,3.71994,1.00036
0.2,0.299517,1.00124,2.71749,1.71853,3.71689,1.00042
0.21,0.310843,1.00144,2.71445,1.71561,3.71369,1.00048
0.22,0.32187,1.00164,2.71129,1.71259,3.71037,1.00053
0.23,0.332647,1.00189,2.70802,1.70947,3.70692,1.00061
0.24,0.343118,1.00216,2.70464,1.70626,3.70337,1.00071
0.25,0.353369,1.00243,2.70116,1.70297,3.6997,1.00079
0.26,0.363397,1.00272,2.69758,1.69958,3.6959,1.00087
0.27,0.373187,1.00302,2.6939,1.69608,3.69198,1.00096
0.28,0.382751,1.00335,2.69013,1.6925,3.68798,1.00109
0.29,0.392104,1.00371,2.68625,1.68883,3.68385,1.0012
