time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,6,5,7,1
0.01,0.0183159,0.999989,5.99991,4.9999,6.99993,1.00001
0.02,0.0341955,0.999999,5.99966,4.99965,6.99967,1.00001
0.03,0.0480737,1.00001,5.99927,4.99925,6.99926,1.00002
0.04,0.0604428,1.00002,5.99874,4.99872,6.99872,1.00002
0.05,0.071454,1.00003,5.99809,4.99807,6.99805,1.00002
0.06,0.0813197,1.00004,5.99733,4.99732,6.99728,1.00002
0.07,0.0901914,1.00005,5.99648,4.99647,6.99642,1.00002
0.08,0.0982166,1.00006,5.99555,4.99554,6.99547,1.00002
0.09,0.105501,1.00006,5.99454,4.99453,6.99445,1.00002
0.1,0.112134,1.00006,5.99346,4.99345,6.99337,1.00002
0.11,0.118202,1.00006,5.99231,4.99231,6.99222,1.00001
0.12,0.123779,1.00006,5.99111,4.99112,6.99102,1.00001
0.13,0.128942,1.00007,5.98985,4.98987,6.98978,1.00002
0.14,0.133713,1.00008,5.98854,4.98857,6.98849,1.00004
0.15,0.138117,1.00008,5.98719,4.98723,6.98716,1.00005
0.16,0.142197,1.00008,5.98579,4.98585,6.98581,1.00006
0.17,0.145968,1.00007,5.98435,4.98443,6.98442,1.00006
0.18,0.149519,1.00005,5.98288,4.98297,6.98302,1.00007
0.19,0.152848,1.00002,5.98137,4.98147,6.98157,1.00007
0.2,0.155971,0.999989,5.97983,4.97994,6.98009,1.00006
0.21,0.158904,0.99996,5.97826,4.97838,6.97857,1.00006
0.22,0.161674,0.999936,5.97666,4.97679,6.97703,1.00005
0.23,0.164288,0.999937,5.97504,4.97518,6.97544,1.00007
0.24,0.166774,0.999948,5.97338,4.97355,6.97383,1.00009
0.25,0.169137,0.99996,5.97171,4.9719,6.97219,1.0001
0.26,0.171366,0.999972,5.97001,4.97023,6.97052,1.00012
0.27,0.173499,0.99998,5.96829,4.96854,6.96883,1.00012
0.28,0.175544,0.999981,5.96654,4.96683,6.96712,1.00013
0.29,0.177511,0.999981,5.96478,4.96508,6.96539,1.00014
0.3,0.179387,0.999983,5.963,4.96332,6.96364,1.00014
0.31,0.181164,0.999987,5.9612,4.96155,6.96186,1.00014
0.32,0.182862,1.00001,5.95938,4.95976,6.96005,1.00016
0.33,0.184498,1.00004,5.95755,4.95795,6.95822,1.00018
0.34,0.186075,1.00008,5.9557,4.95614,6.95636,1.00019
0.35,0.187593,1.00012,5.95383,4.95431,6.95449,1.00021
0.36,0.189041,1.00015,5.95195,4.95247,6.9526,1.00022
0.37,0.190454,1.00018,5.95006,4.9506,6.95071,1.00023
0.38,0.191819,1.0002,5.94815,4.94871,6.94879,1.00024
0.39,0.193103,1.00022,5.94623,4.9468,6.94685,1.00024
0.4,0.194335,1.00024,5.94429,4.94488,6.94489,1.00024
0.41,0.195538,1.00028,5.94234,4.94294,6.94292,1.00027
0.42,0.196693,1.00033,5.94038,4.94099,6.94092,1.00029
0.43,0.197835,1.00038,5.93841,4.93904,6.93891,1.00031
0.44,0.19892,1.00041,5.93643,4.93707,6.9369,1.00033
0.45,0.199993,1.00046,5.93444,4.93511,6.93487,1.00034
0.46,0.20101,1.00052,5.93244,4.93314,6.93281,1.00036
