time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,7.25,6.25,8.25,1
0.01,0.0198448,1,7.2499,6.2499,8.2499,1
0.02,0.0396885,0.999982,7.24961,6.24959,8.24962,1
0.03,0.0594336,0.999995,7.24911,6.24911,8.24911,0.999997
0.04,0.0792164,1.00001,7.24842,6.24843,8.24842,1
0.05,0.098896,1.00003,7.24753,6.24756,8.24751,1.00001
0.06,0.118529,1.00006,7.24645,6.24649,8.2464,1.00001
0.07,0.138116,1.00009,7.24516,6.24524,8.24509,1.00002
0.08,0.15767,1.0001,7.24369,6.24377,8.2436,1.00002
0.09,0.177199,1.00013,7.24201,6.24212,8.2419,1.00002
0.1,0.196741,1.00018,7.24015,6.24028,8.24,1.00005
0.11,0.216307,1.00025,7.23808,6.23826,8.23789,1.00007
0.12,0.23587,1.00033,7.23582,6.23608,8.23559,1.00009
0.13,0.255289,1.00036,7.23337,6.23364,8.23315,1.00011
0.14,0.274602,1.00041,7.23072,6.23102,8.2305,1.00015
0.15,0.293868,1.00048,7.22788,6.22824,8.22766,1.00019
0.16,0.313117,1.00068,7.22485,6.22529,8.22438,1.00023
0.17,0.332378,1.00085,7.22162,6.22217,8.221,1.00027
0.18,0.351559,1.00101,7.2182,6.21886,8.21745,1.0003
0.19,0.370669,1.00108,7.21459,6.21532,8.21384,1.00034
0.2,0.3897,1.00116,7.21079,6.21157,8.21003,1.00038
0.21,0.408739,1.00139,7.2068,6.20768,8.20583,1.00047
0.22,0.427697,1.00167,7.20262,6.20375,8.20146,1.00052
0.23,0.446558,1.00193,7.19825,6.1996,8.1969,1.00057
0.24,0.465395,1.00207,7.19369,6.19511,8.19229,1.00066
0.25,0.484223,1.00228,7.18895,6.19042,8.18741,1.00078
0.26,0.502949,1.00249,7.18401,6.18553,8.18225,1.00084
0.27,0.521597,1.00272,7.17889,6.18068,8.17698,1.00087
0.28,0.540271,1.003,7.17358,6.17555,8.17154,1.00098
0.29,0.558824,1.00327,7.16809,6.17019,8.16583,1.00109
0.3,0.577346,1.00348,7.16241,6.16461,8.16002,1.00118
0.31,0.595915,1.00376,7.15654,6.15893,8.15399,1.00128
0.32,0.61432,1.00412,7.1505,6.15318,8.14765,1.00134
0.33,0.632767,1.00444,7.14426,6.14727,8.14125,1.00141
0.34,0.651101,1.00463,7.13784,6.14093,8.13474,1.00153
0.35,0.669379,1.00485,7.13124,6.13441,8.12795,1.0016
0.36,0.687683,1.00519,7.12446,6.12783,8.12092,1.00172
0.37,0.705842,1.00548,7.11749,6.12104,8.1137,1.00179
0.38,0.724197,1.00581,7.11034,6.11418,8.10636,1.00188
0.39,0.742248,1.00602,7.10301,6.10697,8.09896,1.00199
0.4,0.760354,1.00625,7.0955,6.09956,8.09133,1.00212
0.41,0.778399,1.00655,7.08781,6.09215,8.08347,1.00218
0.42,0.796393,1.00686,7.07994,6.0844,8.07528,1.00227
0.43,0.814288,1.0071,7.07189,6.07651,8.06708,1.00235
0.44,0.831782,1.0075,7.06366,6.06859,8.05861,1.00247
0.45,0.849521,1.00767,7.05525,6.06025,8.05012,1.00257
0.46,0.867397,1.00812,7.04667,6.05193,8.04114,1.00268
0.47,0.885167,1.00837,7.03791,6.04334,8.03219,1.00275
0.48,0.902839,1.00872,7.02897,6.03469,8.02305,1.00285
0.49,0.92054,1.00896,7.01985,6.02569,8.0138,1.00296
0.5,0.938071,1.00926,7.01056,6.01662,8.00434,1.00307
0.51,0.955598,1.00961,7.00109,6.00728,7.99462,1.00322
0.52,0.97308,1.01001,6.99145,5.99802,7.98469,1.00328
0.53,0.990588,1.01039,6.98164,5.98846,7.97468,1.00343
0.54,1.00789,1.0108,6.97164,5.97877,7.96446,1.00358
0.55,1.02516,1.01108,6.96148,5.96869,7.95406,1.00369
0.56,1.04236,1.01148,6.95114,5.95858,7.94349,1.00384
0.57,1.05948,1.01184,6.94064,5.9483,7.9327,1.00395
0.58,1.07646,1.0123,6.92996,5.93799,7.92171,1.00405
0.59,1.0935,1.01284,6.91911,5.92745,7.91047,1.00423
0.6,1.11058,1.01315,6.90809,5.91661,7.89933,1.00439
0.61,1.12787,1.01367,6.8969,5.90579,7.88771,1.00451
0.62,1.14468,1.01417,6.88554,5.89475,7.87601,1.00467
0.63,1.16149,1.01461,6.87401,5.88354,7.86423,1.00481
0.64,1.17822,1.01506,6.86231,5.87219,7.85231,1.00497
0.65,1.19501,1.01546,6.85045,5.86051,7.84013,1.00511
0.66,1.21155,1.01593,6.83842,5.84868,7.82775,1.0053
0.67,1.22809,1.01644,6.82622,5.83684,7.81524,1.00547
0.68,1.24475,1.01695,6.81385,5.82483,7.80253,1.00561
0.69,1.26118,1.01739,6.80133,5.81263,7.78979,1.00577
0.7,1.27752,1.0178,6.78863,5.80012,7.7768,1.00593
0.71,1.29389,1.01838,6.77578,5.78772,7.76361,1.0061
0.72,1.31025,1.01885,6.76276,5.77498,7.75023,1.00624
0.73,1.32649,1.01931,6.74958,5.76208,7.73673,1.00639
0.74,1.34274,1.01978,6.73623,5.74908,7.72313,1.00655
0.75,1.35892,1.02031,6.72272,5.73592,7.70929,1.00672
0.76,1.37525,1.02081,6.70905,5.72258,7.69529,1.00687
0.77,1.3914,1.0213,6.69522,5.70907,7.68112,1.00702
0.78,1.40754,1.02171,6.68123,5.69539,7.66694,1.00718
0.79,1.42353,1.0221,6.66708,5.6815,7.65263,1.00734
0.8,1.43949,1.02265,6.65276,5.66754,7.63795,1.00752
0.81,1.45532,1.02316,6.63829,5.65338,7.62316,1.0077
0.82,1.47103,1.02367,6.62366,5.63908,7.60818,1.00785
0.83,1.48649,1.02422,6.60887,5.62464,7.59299,1.00801
0.84,1.50217,1.02473,6.59393,5.61002,7.57771,1.00818
0.85,1.51771,1.02518,6.57883,5.59518,7.56233,1.00835
0.86,1.53341,1.0256,6.56358,5.58016,7.54682,1.0085
0.87,1.54885,1.02607,6.54817,5.56499,7.53105,1.00866
0.88,1.56424,1.02657,6.5326,5.54977,7.51519,1.00882
0.89,1.57962,1.02717,6.51689,5.53446,7.49908,1.009
0.9,1.59496,1.02773,6.50101,5.51898,7.48289,1.00919
0.91,1.6101,1.02827,6.48499,5.50324,7.4665,1.00938
0.92,1.62534,1.02884,6.46881,5.48749,7.44999,1.00956
0.93,1.64058,1.02937,6.45249,5.47154,7.43336,1.00973
0.94,1.65551,1.02987,6.43601,5.45537,7.4166,1.00991
0.95,1.67047,1.03039,6.41938,5.43904,7.39965,1.0101
0.96,1.68539,1.03095,6.4026,5.42259,7.38252,1.01029
0.97,1.70003,1.03154,6.38567,5.40606,7.36521,1.01047
0.98,1.7148,1.03215,6.3686,5.3894,7.34776,1.01066
0.99,1.72943,1.03275,6.35138,5.37264,7.33022,1.01084
1,1.74405,1.03332,6.33401,5.35566,7.31255,1.01105
1.01,1.75859,1.03395,6.3165,5.33852,7.29462,1.01125
1.02,1.77327,1.03459,6.29885,5.32121,7.27647,1.01144
1.03,1.78783,1.03517,6.28104,5.30379,7.25831,1.01163
1.04,1.80247,1.0358,6.26309,5.28624,7.23997,1.01183
1.05,1.8168,1.03642,6.245,5.26856,7.22152,1.01204
1.06,1.83102,1.03704,6.22676,5.25074,7.20291,1.01224
1.07,1.84534,1.03766,6.20838,5.23277,7.1842,1.01246
1.08,1.85951,1.03829,6.18985,5.21467,7.16531,1.01267
1.09,1.8737,1.03881,6.17119,5.19634,7.14638,1.01286
1.1,1.88786,1.03933,6.15238,5.17781,7.12723,1.01305
1.11,1.90201,1.03989,6.13343,5.15917,7.1079,1.01324
1.12,1.91593,1.04054,6.11435,5.14047,7.0884,1.01345
1.13,1.92984,1.04127,6.09512,5.12176,7.06873,1.01366
1.14,1.94374,1.04194,6.07575,5.1029,7.04898,1.01384
1.15,1.95759,1.04236,6.05625,5.08367,7.02927,1.01401
1.16,1.97143,1.04287,6.0366,5.06431,7.00936,1.01422
1.17,1.98542,1.04352,6.01682,5.04494,6.98917,1.01442
1.18,1.99908,1.04424,5.9969,5.02556,6.96879,1.0146
1.19,2.01276,1.04474,5.97684,5.00587,6.94849,1.01477
1.2,2.02644,1.0453,5.95665,4.98598,6.92806,1.01503
1.21,2.04004,1.04594,5.93631,4.96598,6.90729,1.01525
1.22,2.05354,1.04662,5.91585,4.94601,6.88635,1.0154
1.23,2.06703,1.04723,5.89525,4.92578,6.8654,1.01561
1.24,2.0803,1.0477,5.87451,4.90532,6.84448,1.01583
1.25,2.09363,1.04831,5.85364,4.88484,6.8232,1.016
1.26,2.10683,1.04903,5.83264,4.86428,6.80172,1.01622
1.27,2.11992,1.04967,5.81151,4.84347,6.78017,1.01645
1.28,2.13297,1.05022,5.79025,4.82261,6.75861,1.01661
1.29,2.14614,1.05099,5.76885,4.80177,6.73679,1.01685
1.3,2.15916,1.05164,5.74733,4.78058,6.71484,1.01707
1.31,2.17192,1.05213,5.72567,4.75924,6.69291,1.01724
1.32,2.1848,1.05294,5.70389,4.738,6.67069,1.0175
1.33,2.19754,1.05351,5.68198,4.71642,6.64842,1.01769
1.34,2.21013,1.05414,5.65994,4.69476,6.62604,1.01792
1.35,2.22271,1.05498,5.63778,4.67312,6.60338,1.01819
1.36,2.23531,1.05547,5.61549,4.65116,6.58086,1.01837
1.37,2.24792,1.05623,5.59308,4.62921,6.55803,1.01864
1.38,2.26039,1.05689,5.57054,4.60708,6.53504,1.01882
1.39,2.27273,1.05752,5.54787,4.58485,6.51212,1.01906
1.4,2.28512,1.05834,5.52508,4.56252,6.48872,1.01928
1.41,2.29734,1.05892,5.50217,4.53998,6.46551,1.01949
1.42,2.30952,1.05966,5.47914,4.51741,6.44204,1.01973
1.43,2.32155,1.06037,5.45598,4.4947,6.41843,1.01994
1.44,2.33369,1.06098,5.43271,4.47187,6.39496,1.02018
1.45,2.3458,1.06178,5.40931,4.44899,6.37101,1.02038
1.46,2.35797,1.06235,5.3858,4.42585,6.34729,1.02062
1.47,2.36981,1.0631,5.36216,4.40266,6.32312,1.02082
1.48,2.38169,1.06369,5.3384,4.37932,6.29917,1.02106
1.49,2.39348,1.06441,5.31453,4.35582,6.27476,1.02127
1.5,2.40536,1.06502,5.29053,4.33226,6.25057,1.02151
1.51,2.41716,1.06579,5.26642,4.30857,6.22588,1.02173
1.52,2.42898,1.06634,5.24219,4.28471,6.20144,1.02194
1.53,2.44068,1.06712,5.21785,4.26084,6.17657,1.02215
1.54,2.4524,1.06758,5.19338,4.23661,6.15191,1.02237
1.55,2.464,1.0684,5.1688,4.21267,6.12691,1.02258
1.56,2.47563,1.06889,5.14411,4.18809,6.10184,1.0228
1.57,2.48723,1.06979,5.11929,4.16406,6.07659,1.023
1.58,2.49883,1.07029,5.09436,4.13927,6.05129,1.02321
1.59,2.5103,1.07113,5.06932,4.11493,6.02587,1.02343
1.6,2.52167,1.07168,5.04416,4.09005,6.00041,1.02365
1.61,2.53308,1.07232,5.01889,4.06514,5.97478,1.02387
1.62,2.54427,1.07313,4.9935,4.04035,5.94895,1.02408
1.63,2.55522,1.07357,4.96801,4.01496,5.92316,1.0243
1.64,2.56644,1.07446,4.9424,3.99003,5.89715,1.02456
1.65,2.57757,1.07508,4.91668,3.96461,5.87103,1.02477
1.66,2.58863,1.07568,4.89085,3.93907,5.84486,1.025
1.67,2.59944,1.07666,4.86491,3.91383,5.81834,1.02526
1.68,2.61025,1.07705,4.83887,3.88793,5.79208,1.02543
1.69,2.62112,1.07792,4.81271,3.86234,5.7654,1.02567
1.7,2.63205,1.07877,4.78645,3.83661,5.73864,1.02593
1.71,2.6427,1.07916,4.76008,3.81035,5.712,1.02609
1.72,2.65328,1.08011,4.7336,3.78449,5.68494,1.02635
1.73,2.66377,1.08081,4.70701,3.75843,5.65812,1.02661
1.74,2.67415,1.08125,4.68032,3.73198,5.63128,1.02681
1.75,2.68469,1.08219,4.65353,3.70575,5.60385,1.02706
1.76,2.69516,1.08296,4.62663,3.67936,5.5766,1.02732
1.77,2.70498,1.08348,4.59964,3.65267,5.54942,1.02755
1.78,2.71521,1.08427,4.57254,3.626,5.52174,1.02775
1.79,2.7255,1.08508,4.54533,3.59937,5.49416,1.028
1.8,2.73566,1.08575,4.51803,3.57244,5.46657,1.02827
1.81,2.74598,1.08633,4.49062,3.54529,5.43879,1.02848
1.82,2.7562,1.08715,4.46311,3.51836,5.41074,1.02865
1.83,2.76622,1.08793,4.4355,3.49134,5.38279,1.02889
1.84,2.77623,1.08856,4.40779,3.46396,5.35483,1.02916
1.85,2.78623,1.08922,4.37998,3.43651,5.32665,1.02939
1.86,2.7959,1.09,4.35207,3.40914,5.29824,1.02956
1.87,2.8059,1.09078,4.32407,3.38163,5.2698,1.02979
1.88,2.81569,1.09144,4.29596,3.35395,5.24145,1.03005
1.89,2.82555,1.09212,4.26775,3.32607,5.21288,1.03031
1.9,2.83537,1.09288,4.23945,3.2982,5.18409,1.03053
1.91,2.84511,1.09354,4.21105,3.27021,5.1553,1.03071
1.92,2.85494,1.09418,4.18255,3.24211,5.1265,1.03092
1.93,2.86462,1.09482,4.15396,3.21387,5.0976,1.03117
1.94,2.87427,1.09554,4.12526,3.18554,5.06848,1.03142
1.95,2.88385,1.09632,4.09647,3.15721,5.03922,1.03165
1.96,2.89336,1.09703,4.06759,3.12881,5.00997,1.03185
1.97,2.90285,1.0977,4.03861,3.10033,4.9807,1.03204
1.98,2.91232,1.09832,4.00954,3.07166,4.95134,1.03225
1.99,2.9217,1.09901,3.98037,3.04281,4.92176,1.03249
2,2.93048,1.09978,3.95111,3.01393,4.89201,1.03274
2.01,2.93977,1.10057,3.92176,2.98506,4.86223,1.03298
2.02,2.94898,1.10129,3.89232,2.95611,4.83248,1.03322
2.03,2.95785,1.10196,3.86278,2.92706,4.8027,1.03344
2.04,2.96682,1.10266,3.83316,2.89789,4.77275,1.03367
2.05,2.9757,1.1034,3.80345,2.86859,4.74259,1.03389
2.06,2.98449,1.10416,3.77365,2.83919,4.7123,1.03411
2.07,2.99336,1.10488,3.74376,2.80966,4.68195,1.03433
2.08,3.00198,1.10564,3.71379,2.78007,4.65152,1.03458
2.09,3.01045,1.10639,3.68373,2.75042,4.62105,1.03482
2.1,3.01918,1.10715,3.65358,2.7207,4.59048,1.03507
2.11,3.02779,1.10785,3.62335,2.69088,4.55991,1.0353
2.12,3.03623,1.10857,3.59303,2.66106,4.52928,1.03553
2.13,3.04425,1.10929,3.56262,2.63116,4.49859,1.03576
2.14,3.05262,1.11001,3.53214,2.60114,4.4678,1.03601
2.15,3.0611,1.1107,3.50158,2.571,4.43694,1.03625
2.16,3.06923,1.11141,3.47093,2.54079,4.40595,1.03648
2.17,3.07746,1.11213,3.44019,2.5105,4.37487,1.03671
2.18,3.08564,1.11289,3.40938,2.48014,4.34365,1.03694
2.19,3.09385,1.11364,3.37848,2.44969,4.31237,1.03717
2.2,3.10177,1.11436,3.34751,2.41911,4.28098,1.0374
2.21,3.10974,1.11506,3.31645,2.38844,4.24952,1.03761
2.22,3.1176,1.1158,3.28531,2.35775,4.21799,1.03783
2.23,3.12567,1.11652,3.2541,2.32699,4.18643,1.03805
2.24,3.13339,1.11725,3.22281,2.29614,4.15477,1.03827
2.25,3.14108,1.11799,3.19144,2.2652,4.123,1.0385
2.26,3.14882,1.11874,3.15999,2.23421,4.09115,1.03872
2.27,3.15672,1.11942,3.12846,2.2031,4.0593,1.03893
2.28,3.16428,1.1201,3.09686,2.17192,4.02739,1.03915
2.29,3.17183,1.12079,3.06518,2.14064,3.99536,1.03938
2.3,3.17932,1.12151,3.03343,2.10929,3.96322,1.0396
2.31,3.187,1.12215,3.0016,2.07781,3.93107,1.03982
2.32,3.19428,1.12279,2.96969,2.04629,3.89886,1.04003
2.33,3.20154,1.12344,2.93771,2.01469,3.86657,1.04024
2.34,3.20856,1.12415,2.90566,1.98309,3.83418,1.04045
2.35,3.21587,1.12482,2.87354,1.95138,3.80173,1.04066
2.36,3.22292,1.12551,2.84135,1.91959,3.76916,1.04086
