time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,4.75,3.75,5.75,1
0.01,0.0198216,1,4.7499,3.7499,5.7499,1
0.02,0.0391388,1.00001,4.74961,3.74961,5.74959,1
0.03,0.0579189,1.00003,4.74913,3.74914,5.74909,1
0.04,0.0762125,1.00006,4.74846,3.74848,5.74839,1.00001
0.05,0.0939745,1.0001,4.74761,3.74766,5.74751,1.00002
0.06,0.111304,1.00015,4.74658,3.74666,5.74643,1.00003
0.07,0.128192,1.0002,4.74539,3.74549,5.74519,1.00004
0.08,0.14466,1.00025,4.74403,3.74416,5.74377,1.00005
0.09,0.160736,1.00031,4.7425,3.74268,5.74219,1.00007
0.1,0.176452,1.0004,4.74082,3.74104,5.74044,1.0001
0.11,0.191801,1.00049,4.73898,3.73926,5.73854,1.00013
0.12,0.206805,1.00059,4.73699,3.73734,5.73649,1.00016
0.13,0.221406,1.00067,4.73485,3.73525,5.73431,1.0002
0.14,0.235668,1.00075,4.73257,3.73302,5.73198,1.00024
0.15,0.24957,1.00084,4.73014,3.73064,5.7295,1.00027
0.16,0.263164,1.00095,4.72758,3.72815,5.72685,1.0003
0.17,0.27645,1.00107,4.72488,3.72553,5.72407,1.00034
0.18,0.289442,1.0012,4.72206,3.72278,5.72114,1.00038
0.19,0.302152,1.00133,4.7191,3.71991,5.71809,1.00042
0.2,0.314561,1.00143,4.71602,3.71691,5.71494,1.00045
0.21,0.326641,1.00151,4.71281,3.71376,5.71169,1.00047
0.22,0.338463,1.00162,4.70949,3.71052,5.70828,1.0005
0.23,0.350072,1.00176,4.70605,3.70716,5.70476,1.00056
0.24,0.361373,1.00189,4.70249,3.70369,5.7011,1.00059
0.25,0.372423,1.00198,4.69883,3.7001,5.69737,1.00061
0.26,0.383301,1.00203,4.69505,3.69636,5.69356,1.00063
0.27,0.393931,1.00214,4.69116,3.69252,5.68961,1.00069
0.28,0.404329,1.00224,4.68717,3.68857,5.68554,1.00073
0.29,0.414456,1.00233,4.68308,3.68454,5.68138,1.00074
0.3,0.424412,1.00238,4.67889,3.6804,5.67716,1.00075
0.31,0.434106,1.00247,4.6746,3.67615,5.67284,1.00081
0.32,0.44362,1.00255,4.67021,3.67181,5.66839,1.00083
0.33,0.452683,1.00261,4.66573,3.66739,5.66385,1.00084
0.34,0.461863,1.00267,4.66116,3.66286,5.65926,1.00087
0.35,0.470833,1.00275,4.6565,3.65824,5.65455,1.0009
0.36,0.479592,1.00281,4.65174,3.65352,5.64973,1.00091
0.37,0.488072,1.00285,4.64691,3.64873,5.64487,1.00092
0.38,0.496572,1.00293,4.64199,3.64387,5.63993,1.00095
0.39,0.50484,1.003,4.63698,3.63892,5.63487,1.00097
0.4,0.512717,1.00303,4.63189,3.63388,5.62975,1.00096
0.41,0.520319,1.00309,4.62673,3.62875,5.62458,1.001
0.42,0.527729,1.00314,4.62149,3.62354,5.6193,1.00101
0.43,0.534988,1.00316,4.61618,3.61827,5.61397,1.00101
0.44,0.542029,1.0032,4.61079,3.6129,5.60861,1.00105
0.45,0.549119,1.00324,4.60534,3.60748,5.60313,1.00106
0.46,0.555997,1.00327,4.59981,3.60198,5.59757,1.00106
0.47,0.562909,1.00331,4.59422,3.59639,5.59197,1.00109
0.48,0.569561,1.00334,4.58856,3.59074,5.58625,1.00109
0.49,0.576122,1.00338,4.58283,3.58504,5.5805,1.0011
0.5,0.58256,1.00342,4.57704,3.57928,5.5747,1.00113
0.51,0.588778,1.00346,4.57118,3.57346,5.56879,1.00111
