time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,21,20,22,1
0.01,0.0198282,1,20.9999,19.9999,21.9999,1
0.02,0.039583,0.999987,20.9996,19.9996,21.9996,1
0.03,0.0591887,0.999998,20.9991,19.9991,21.9991,0.999997
0.04,0.0786987,1.00001,20.9984,19.9984,21.9984,1
0.05,0.0980687,1.00003,20.9975,19.9976,21.9975,1.00001
0.06,0.117337,1.00006,20.9965,19.9965,21.9964,1.00001
0.07,0.136503,1.00008,20.9952,19.9953,21.9951,1.00002
0.08,0.155571,1.0001,20.9937,19.9938,21.9937,1.00002
0.09,0.174555,1.00012,20.9921,19.9922,21.992,1.00002
0.1,0.193489,1.00017,20.9903,19.9904,21.9901,1.00004
0.11,0.212511,1.00024,20.9882,19.9884,21.9881,1.00006
0.12,0.231315,1.00031,20.986,19.9862,21.9858,1.00008
0.13,0.24996,1.00034,20.9836,19.9839,21.9834,1.0001
0.14,0.268524,1.00039,20.981,19.9813,21.9808,1.00014
0.15,0.286943,1.00047,20.9782,19.9786,21.978,1.00017
0.16,0.305273,1.00062,20.9753,19.9757,21.9749,1.0002
0.17,0.323553,1.00076,20.9721,19.9726,21.9716,1.00025
0.18,0.341728,1.00091,20.9688,19.9694,21.9682,1.00028
0.19,0.359819,1.00101,20.9653,19.966,21.9646,1.00032
0.2,0.377732,1.00108,20.9616,19.9623,21.9609,1.00035
0.21,0.3956,1.00128,20.9578,19.9586,21.9569,1.00043
0.22,0.413368,1.00152,20.9537,19.9547,21.9527,1.00049
0.23,0.430978,1.00175,20.9495,19.9507,21.9483,1.00053
0.24,0.448523,1.00187,20.9451,19.9464,21.9438,1.00058
0.25,0.466088,1.00208,20.9405,19.9419,21.9391,1.00069
0.26,0.483555,1.00227,20.9358,19.9372,21.9342,1.00077
0.27,0.500788,1.00249,20.9309,19.9325,21.9291,1.00079
0.28,0.518049,1.00269,20.9258,19.9275,21.9239,1.00088
0.29,0.535122,1.00294,20.9205,19.9224,21.9185,1.00098
0.3,0.552088,1.00316,20.9151,19.9171,21.9129,1.00104
0.31,0.569034,1.00337,20.9095,19.9116,21.9072,1.00113
0.32,0.585892,1.00363,20.9037,19.9061,21.9012,1.00121
0.33,0.602622,1.00391,20.8977,19.9004,21.8951,1.00125
0.34,0.619294,1.0041,20.8916,19.8944,21.8889,1.00135
0.35,0.635832,1.00429,20.8854,19.8882,21.8825,1.00142
0.36,0.652304,1.00457,20.8789,19.8819,21.8758,1.0015
0.37,0.668769,1.00481,20.8723,19.8755,21.8691,1.00159
0.38,0.685058,1.00505,20.8656,19.8689,21.8621,1.00164
0.39,0.701325,1.00527,20.8586,19.8621,21.8551,1.00174
